,Country Name,"Taux d'abandon cumulé en dernière année du premier cycle de l'enseignement secondaire général, hommes et femmes (%)","Taux de passage effectif du primaire au premier cycle de l'enseignement secondaire général, hommes et femmes (%)",Internautes,"Taux d'achèvement du premier cycle du secondaire, les deux sexes (%)","Taux de flux net d'étudiants en mobilité internationale (entrants - sortants), hommes et femmes (%)"
81,Greenland,0.8034351631620129,0.8034351631620129,0.8034351631620129,0.8034351631620129,0.8034351631620129
82,Grenada,0.6162810665357306,0.8907866798967992,0.7653608040050023,0.8603833700231226,0.7128456771639696
83,Guam,0.721243245386905,0.721243245386905,0.8290574022521405,0.721243245386905,0.721243245386905
84,Guatemala,0.6641790690748244,0.8509632861947009,0.7010815797387363,0.7863267751787582,0.687980464262076
85,Guinea,0.6687508350771542,0.8042927652315306,0.6266781398073988,0.7027647049850442,0.5818412713830284
86,Guinea-Bissau,0.7593104555427425,0.8750941213508838,0.6084950626330349,0.7032686229327292,0.6768737179951223
87,Guyana,0.6339790608595951,0.8838525989347021,0.7045464292790031,0.8311332247403738,0.5463087901209192
88,Haiti,0.6986807182315964,0.8180626246757545,0.6340030634863071,0.6720166357477522,0.6655778201116954
89,Heavily indebted poor countries (HIPC),0.6730800343517709,0.8276966352846112,0.644347182926537,0.7086072126038887,0.6730800343517709
90,High income,0.7396334188623545,0.8853214847180177,0.8439858158006062,0.8786824490352512,0.7396334188623545
91,Honduras,0.6266513392294288,0.8243293560840653,0.6875033311193248,0.7560475437566633,0.5943711706557807
92,"Hong Kong SAR, China",0.5999955436228215,0.8976807414805116,0.860043149952012,0.8973947476564528,0.5920626739131445
93,Hungary,0.6109496186695399,0.8972014278693651,0.8358306830599163,0.8847782136158133,0.6073830042834509
94,Iceland,0.6009758227617763,0.8973027857898204,0.8929841255042978,0.8897466125502962,0.5724950895855141
95,India,0.6061638505058422,0.8716984702029755,0.6861397715228452,0.8547019966867068,0.5954776471684489
96,Indonesia,0.6196743600552194,0.8731448881607686,0.6735505760156016,0.8717485059125748,0.5957898731085034
97,"Iran, Islamic Rep.",0.6096784319465637,0.8893174035684589,0.7574425830390457,0.8819968897913171,0.5942048349094956
98,Iraq,0.6354799052868575,0.8298785414163335,0.6610955624160777,0.7418891494462336,0.5966273034948578
99,Ireland,0.5999690454300801,0.6964889382855907,0.8445940233562453,0.9225188077294467,0.5855383292431008
100,Israel,0.6047301826944345,0.8974855608612488,0.837394643082985,0.915024409523491,0.5893007890364905
101,Italy,0.6022600475145108,0.8980581228402849,0.7818252948538982,0.8993496782092785,0.6018934100914344
102,Jamaica,0.6079505753268072,0.8701820987393377,0.7326705523905571,0.8668612254769874,0.5618750102230896
103,Japan,0.5974090878559338,0.8981386210617887,0.8741945123737516,0.9080245561846335,0.6062536428374309
104,Jordan,0.6194129921051084,0.8946389700712011,0.7847700164096678,0.8415627296174998,0.6082204641940042
105,Kazakhstan,0.601876788595703,0.8980695635121765,0.8284250614855695,0.9446236331383604,0.58169218943492
106,Kenya,0.814090000687358,0.8945649503024551,0.6754587387803296,0.8513972276633043,0.7329917885596922
107,Kiribati,0.6292620953861644,0.7025024310279098,0.6384216173379191,0.9010329961842364,0.6679285712755523
108,"Korea, Dem. People’s Rep.",0.6036428572462358,0.6036428572462358,0.5971688885768603,0.6036428572462358,0.6036428572462358
109,"Korea, Rep.",0.6002574532387798,0.8971966724093616,0.8763521365922626,0.9227517793231301,0.5920134117555008
110,Kuwait,0.6197170586873377,0.8932402675260971,0.8331446860925599,0.8651371070335951,0.7094947512216196
111,Kyrgyz Republic,0.6074732481827242,0.895912813074674,0.7010534975006946,0.8693365457882325,0.6028588743643526
112,Lao PDR,0.6522326069165238,0.8654595823575822,0.663022697190317,0.7798875836823109,0.5869158992820671
113,Latin America & Caribbean,0.7221073160726531,0.8835292276544826,0.766916681320586,0.8288323402156237,0.7221073160726531
114,Latin America & Caribbean (excluding high income),0.7217208295653375,0.8834058154267659,0.7652080913442123,0.8274950681055375,0.7217208295653375
115,Latvia,0.6056682151279122,0.8933985990736442,0.8377276162898687,0.9314965189113843,0.588311445878775
116,Least developed countries: UN classification,0.676590039897911,0.8370626401137695,0.6441876535770539,0.7242737884190616,0.676590039897911
117,Lebanon,0.6442526463790309,0.8662463238226572,0.8263473693070928,0.7579057799560887,0.6179086528742083
118,Lesotho,0.6953399386596191,0.8579219714933363,0.679553900175588,0.7262376900208293,0.5620452907253909
119,Liberia,0.6218327803598666,0.8361947342033255,0.6192078018284158,0.7091966024788293,0.6495660185297927
120,Libya,0.6947355753295829,0.8598262230859329,0.6582113630096768,0.6947355753295829,0.6947355753295829
121,Liechtenstein,0.619619466941879,0.8975866660760998,0.8925441594007684,0.8761428955541074,0.5466694354777342
122,Lithuania,0.6080691244074733,0.8968321790353947,0.8211279824048959,0.9134862364581955,0.5821164606066873
123,Low & middle income,0.707464428149219,0.8683386343311301,0.7145393094965466,0.8175608432390853,0.707464428149219
124,Low income,0.6721503183696576,0.8281974977918114,0.6348004955654326,0.709425542269468,0.6721503183696576
125,Lower middle income,0.7037649841184661,0.8647043601733015,0.6870586425755469,0.826496903942831,0.7037649841184661
126,Luxembourg,0.6014090969296444,0.8875845093486356,0.8907375497431138,0.8880325793578286,0.3384625142939474
127,"Macao SAR, China",0.6020901284817309,0.8973362348225,0.8430080078779149,0.8795523076708172,0.6754830100049355
128,"Macedonia, FYR",0.6092357032149106,0.8978687314766779,0.8144437422697764,0.8522365089207822,0.5814088404047397
129,Madagascar,0.6935358618657861,0.8261357646614265,0.6113624255873358,0.7110651421749284,0.5893227098118133
130,Malawi,0.8047689315092449,0.8573210375669381,0.6261183592362995,0.660519076378476,0.6859081775346081
131,Malaysia,0.6263857284096592,0.8607271415375588,0.834412157123176,0.8584279800055638,0.5965306757279497
132,Maldives,0.610763077423115,0.8877569234902988,0.775105427687873,0.8859153199142663,0.7042630263752568
133,Mali,0.6653864792209822,0.8318592709140064,0.6306293276435956,0.689017634991657,0.5810951092689833
134,Malta,0.6014020208137745,0.8886133657556143,0.8298987017604984,0.8829655563180616,0.5782921518346235
135,Marshall Islands,0.6070546384779836,0.8707960355177253,0.6868643033456447,1.0,0.7102935087021625
136,Mauritania,0.6754071868371063,0.7754712545997002,0.6513695541023391,0.691927913337231,0.5279943247834903
137,Mauritius,0.6022316823873282,0.8556661374858152,0.7574407928512863,0.8498013458273421,0.562102382090321
138,Mexico,0.6278884394124061,0.8885621354377049,0.7764539885148507,0.8397592386412033,0.595426427439766
139,"Micronesia, Fed. Sts.",0.6975971889615241,0.6975971889615241,0.6975971889615241,0.6975971889615241,0.6975971889615241
140,Middle East & North Africa,0.7145848595257933,0.8625952332555418,0.7405640264266878,0.823970077634836,0.7145848595257933
141,Middle East & North Africa (excluding high income),0.7112138911834417,0.8586208173546799,0.7250450641851313,0.8153977292150087,0.7112138911834417
142,Middle income,0.7132125018967439,0.8739822166931244,0.7234148813023148,0.839705205588413,0.7132125018967439
143,Moldova,0.6178746266389556,0.8920881137575858,0.8109603999141045,0.8503289032356228,0.5600876837904877
144,Monaco,0.8838548113236504,0.8838548113236504,0.8838548113236504,0.8838548113236504,0.8838548113236504
145,Mongolia,0.6101122786505658,0.8961104288570306,0.6642144207733921,0.9182353558480846,0.585421797499785
146,Montenegro,0.7313373449940427,0.7313373449940427,0.8075928756182197,0.8670978498153123,0.7313373449940427
147,Morocco,0.6397264994815391,0.864183258244542,0.7726322105188889,0.8031136868295708,0.5740658243422202
148,Mozambique,0.6877810488348514,0.7886004249313641,0.6499279341051399,0.6639109254557054,0.5938914347319308
149,Myanmar,0.6896946620214157,0.8292438138587048,0.6726683206174607,0.7437342334676307,0.5940756567583164
150,Namibia,0.6647075568991929,0.8861481766417673,0.6906148887674388,0.7754735404367548,0.49873780442754845
151,Nauru,0.7630432671177826,0.7630432671177826,0.7630432671177826,0.8291501979190278,0.7630432671177826
152,Nepal,0.6207663828124158,0.8605514422230435,0.6564546721047482,0.8572779397748317,0.5742908184794502
153,Netherlands,0.635240067567045,0.8163145221732151,0.8694096743088993,0.7849659784742596,0.6134978933656775
154,New Caledonia,0.7304148302821213,0.7304148302821213,0.8199991247585243,0.7304148302821213,0.7304148302821213
155,New Zealand,0.7218919993320393,0.7218919993320393,0.8635657207620339,0.7218919993320393,0.639392592100624
156,Nicaragua,0.704267774944615,0.8947493564736914,0.6711583193442803,0.799072349890113,0.7011129791925528
157,Niger,0.7508410846565599,0.7731995460855982,0.6101853531397274,0.6443717367665877,0.5818530451668528
158,Nigeria,0.7008309226750246,0.7789405809178035,0.6744650599123625,0.7376934208693282,0.7008309226750246
159,North America,0.7346167604052212,0.7346167604052212,0.8306545467857394,0.7346167604052212,0.7346167604052212
160,Norway,0.5979845484113228,0.8980802001207827,0.8901481882072813,0.8982506845105599,0.5870077994081259
161,OECD members,0.7368908918258341,0.8899104117281852,0.8241793717583393,0.8707373388978787,0.7368908918258341
162,Oman,0.6003305339764743,0.8963490748401876,0.8073928345119314,0.9139185698002261,0.5615010863354444
163,Pakistan,0.6139593510285752,0.8337044123684954,0.6438855195519437,0.7540461498325515,0.6627208157216299
164,Palau,0.8265631544575799,0.8886864206484173,0.6783805540207234,0.9126224887035993,0.8265631544575799
165,Panama,0.665491535832551,0.8945839951157047,0.7597708851532965,0.8195871056919581,0.7051407527713983
166,Papua New Guinea,0.6540018523219039,0.6540018523219039,0.6260805427273538,0.7854670247673534,0.6540018523219039
167,Paraguay,0.6451037760833523,0.8815870931945172,0.7517909644080667,0.8197196842411304,0.7006906838420426
168,Peru,0.6316708938188016,0.8845916479603244,0.7340609219849012,0.8556365709301428,0.7009046941621679
169,Philippines,0.6385914751326649,0.8949483736234882,0.7642876072804197,0.8446127713920332,0.5964613892087536
170,Poland,0.6015946438656671,0.8963949523939385,0.817888150992608,0.8844483409095993,0.597916797554289
171,Portugal,0.6694863347377014,0.888972184740109,0.8092246777410937,0.7671326014305146,0.6012400210864439
172,Puerto Rico,0.7314160201478549,0.7314160201478549,0.8390243027438853,0.7314160201478549,0.7314160201478549
173,Qatar,0.598423694215438,0.8967882082602924,0.8810934084030573,0.8633270916580672,0.6471578016928139
174,Romania,0.6239167659416793,0.8963060000213178,0.7763440975387309,0.8646311904143146,0.5928658376529136
175,Russian Federation,0.6052410837881719,0.8980363671851009,0.8272479591944726,0.8942698590766511,0.6006828985583182
176,Rwanda,0.69462243853005,0.8033257298045939,0.6573918502718367,0.6982226318911888,0.5799188336019049
